"time","DC Current","AC Current"
1786826419312,0,0.2
1786826419338,0,0.8
1786826419365,0,2.2
1786826419391,0.1,4.8
1786826419418,0.5,11.3
1786826419444,2.2,38.2
1786826419470,2.9,38.6
1786826419496,4,84.1
1786826419523,2.1,50.3
1786826419549,2.3,41.6
1786826419575,3.1,60.7
1786826419602,3.3,63
1786826419628,4.9,82
1786826419654,5.6,104.4
1786826419680,5.1,94.5
1786826419706,5.5,93.4
1786826419732,5.5,97.7
1786826419759,4.9,81.4
1786826419785,5,88.1
1786826419811,4.6,72.4
1786826419837,4.7,80.4
1786826419863,4.2,67.6
1786826419890,3.7,55.8
1786826419916,3.7,55.7
1786826419942,4.1,62
1786826419968,4,67.4
1786826419994,3.1,52.5
1786826420020,3.5,53.8
1786826420046,3,50.7
1786826420072,3.9,63.4
1786826420099,4.4,70.1
1786826420125,4.3,64
1786826420151,4.1,61.1
1786826420177,5,67.7
1786826420204,5,77.2
1786826420230,6.4,96.8
1786826420256,6.9,102.9
1786826420282,7.2,104.6
1786826420309,7,97.1
1786826420335,8.1,106.1
1786826420361,7.2,95.2
1786826420387,7.3,100.8
1786826420413,7.5,98.7
1786826420441,7.8,94.1
1786826420468,7.7,101.3
1786826420494,8.1,107.7
1786826420520,8.6,107.5
1786826420546,8.2,105.7
1786826420572,7.6,100.2
1786826420599,7.5,84.2
1786826420625,7.1,85.8
1786826420651,6.5,83.9
1786826420677,6.7,83.9
1786826420704,7,78.9
1786826420730,7.5,89.8
1786826420756,7.8,80.8
1786826420782,7.1,81.7
1786826420808,7.3,83.7
1786826420834,7.4,82.3
1786826420860,7.7,80.4
1786826420886,7.7,89.9
1786826420913,8.1,84.6
1786826420939,7.9,81.5
1786826420965,7.9,81.9
1786826420991,8.6,86.3
1786826421017,7.9,86.6
1786826421043,8.6,84.3
1786826421069,8,82.3
1786826421095,8,86.4
1786826421121,8.3,86.4
1786826421147,8.3,81.6
1786826421173,8.9,86.6
1786826421199,8.2,81.2
1786826421226,8.5,85.7
1786826421252,8.9,85.5
1786826421279,9.2,88.3
1786826421305,8.7,90.4
1786826421331,8.5,82.5
1786826421357,8.7,87.4
1786826421383,9.1,82.2
1786826421409,8.3,81.4
1786826421436,8.6,86.2
1786826421462,8.7,85.3
1786826421488,8.9,81.7
1786826421514,9.4,83.9
1786826421541,8.7,83.9
1786826421567,9.3,86.4
1786826421593,9.4,89.8
1786826421620,9.9,91.9
1786826421646,9.3,90.9
1786826421672,10.7,93.8
1786826421698,11.2,103.6
1786826421724,12,100
1786826421750,11.1,95.2
1786826421776,11.6,99.9
1786826421802,12.7,102.8
1786826421828,13.8,116.1
1786826421854,14.5,123.7
1786826421880,14.7,114.7
1786826421906,14.3,116.3
1786826421932,13.7,117.7
1786826421958,14.4,114.8
1786826421984,15.1,117.6
1786826422011,14.5,113.5
1786826422037,14.1,107.1
1786826422063,13.6,111.5
1786826422089,13.7,105.7
1786826422115,14.2,105.5
1786826422142,13.3,105.9
1786826422168,15.7,116.3
1786826422194,17.5,128.3
1786826422220,17.1,122.7
1786826422246,16.9,124.9
1786826422273,16.3,120.8
1786826422299,16,118.8
1786826422325,16.9,120.1
1786826422351,16.4,116.5
1786826422377,16.9,118.2
1786826422403,17.5,121.4
1786826422429,17.4,120.2
1786826422455,17.1,117.4
1786826422482,17.7,121
1786826422508,16.7,120.5
1786826422534,17.2,115
1786826422560,16.7,118.6
1786826422586,16.4,114.9
1786826422612,16.7,113
1786826422638,16,112.3
1786826422665,17.1,112.3
1786826422691,17,115.9
1786826422717,16.7,113.9
1786826422743,15.9,102.7
1786826422769,15.6,105.7
1786826422796,16,100.2
1786826422822,15.7,105
1786826422848,15.2,100.1
1786826422874,14.4,95.1
1786826422901,15.6,100.4
1786826422927,14.4,95.4
1786826422953,15.3,101.1
1786826422979,17,104.7
1786826423005,16.4,101.4
1786826423031,16.3,100.9
1786826423057,15.5,100.3
1786826423084,16.7,104.2
1786826423110,16.4,105.2
1786826423136,17.4,109.8
1786826423162,18.1,107.8
1786826423188,18.2,108.3
1786826423214,18.3,106.4
1786826423241,17.5,104
1786826423267,18.4,108.4
1786826423293,18.9,115.4
1786826423319,19.9,120.2
1786826423345,20.2,115.4
1786826423371,20.1,117.9
1786826423398,20.2,120.2
1786826423424,21.1,119
1786826423450,22,124.6
1786826423476,23.3,129.7
1786826423502,24.1,132.4
1786826423529,24.1,136.3
1786826423555,24.5,141
1786826423581,23.9,134.9
1786826423607,23.8,133.3
1786826423633,22.6,123.1
1786826423660,19.7,111.3
1786826423686,20.1,112.3
1786826423712,20.8,116
1786826423738,20.1,111.6
1786826423764,18.5,103
1786826423790,19.8,102.7
1786826423817,18.4,98.8
1786826423843,18.4,98.4
1786826423869,19.4,101.6
1786826423895,19.6,105.4
1786826423921,19.9,103.9
1786826423947,20,106.7
1786826423973,20.1,108.3
1786826424000,20.9,106.8
1786826424026,20.9,110.8
1786826424052,20.1,104.8
1786826424078,20.6,109.9
1786826424104,20.4,105.9
1786826424130,21,105.7
1786826424156,22.1,107.9
1786826424183,23.2,114.9
1786826424209,22.8,116
1786826424235,22.3,109.6
1786826424262,23.2,109.4
1786826424288,21.1,109.3
1786826424315,21.2,103.8
1786826424341,20.8,101.9
1786826424367,18.5,96.4
1786826424393,19.4,95.6
1786826424419,18.3,91.4
1786826424446,21.5,102
1786826424472,17.7,88.5
1786826424498,14,66.5
1786826424525,13.5,64.8
1786826424551,13.8,66.2
1786826424577,13.2,67.8
1786826424603,13.8,66.9
1786826424629,13,63.7
1786826424655,11.5,57
1786826424681,11,54.7
1786826424707,6.5,33.3
1786826424733,0,0
1786826424760,0,0
1786826424786,-2.5,-30.5
1786826424812,-7.5,-85
1786826424838,-12.4,-119.1
1786826424864,-9.7,-98.7
1786826424891,-11,-114.9
1786826424917,-11.3,-115.7
1786826424943,-10.8,-112.1
1786826424969,-10.7,-117.5
1786826424995,-11,-115.3
1786826425022,-11.1,-122.8
1786826425048,-10.6,-122.6
1786826425074,-11.2,-122.8
1786826425100,-10.6,-121.3
1786826425126,-9.9,-122
1786826425152,-11,-121.3
1786826425178,-9.5,-114.3
1786826425204,-8.8,-111.6
1786826425230,-9.2,-108.9
1786826425257,-9.1,-108.9
1786826425283,-9.2,-107
1786826425309,-8,-109.5
1786826425335,-8.7,-108.8
1786826425361,-8,-108
1786826425387,-7.4,-106.3
1786826425413,-8.4,-110.9
1786826425439,-7.2,-107.8
1786826425465,-7.6,-109.4
1786826425491,-6.8,-104.6
1786826425518,-7.7,-107.5
1786826425544,-6.9,-98.5
1786826425570,-6.1,-99.1
1786826425596,-6.1,-98.2
1786826425622,-5.8,-101.1
1786826425648,-6.7,-105
1786826425674,-6.5,-103.6
1786826425700,-6,-100.5
1786826425727,-5.6,-98.8
1786826425753,-5.2,-100.2
1786826425779,-5,-94.5
1786826425806,-5.1,-92.5
1786826425832,-4.2,-84.8
1786826425858,0,0
1786826425884,0,0
1786826425910,0,0
1786826425936,0,0
1786826425962,0,1.1
1786826425988,0.6,5.8
1786826426014,1.1,7.7
1786826426040,1.6,14.6
1786826426067,7.6,49.6
1786826426093,14,74.3
1786826426120,16.2,106.6
1786826426146,9.5,59.7
1786826426172,9.1,56.8
1786826426198,10.3,69
1786826426224,8.4,51.9
1786826426250,8.4,53.4
1786826426277,10.2,63.5
1786826426303,9.4,59.9
1786826426329,9.1,55.7
1786826426355,8.2,52.9
1786826426381,6.4,41.5
1786826426408,6.6,38.8
1786826426434,5.9,36.7
1786826426461,5.9,38.3
1786826426487,5.9,37.8
1786826426513,5.2,31.7
1786826426539,3.1,18.8
1786826426566,2,15.5
1786826426592,2.1,14.4
1786826426619,2,13.8
1786826426645,1.9,12.9
1786826426671,0,0
1786826426697,0,0
1786826426723,0,0
1786826426750,-0.4,-2.6
