"DTI Voltage","time"
498,1786826026907
498,1786826026934
498,1786826026960
498,1786826026986
497,1786826027012
497,1786826027038
498,1786826027064
498,1786826027090
498,1786826027117
499,1786826027143
498,1786826027169
498,1786826027195
498,1786826027221
499,1786826027248
498,1786826027274
499,1786826027300
498,1786826027326
498,1786826027352
498,1786826027378
499,1786826027405
500,1786826027431
501,1786826027457
498,1786826027483
498,1786826027510
498,1786826027536
499,1786826027562
498,1786826027588
498,1786826027614
498,1786826027641
498,1786826027667
497,1786826027693
498,1786826027719
498,1786826027745
496,1786826027771
495,1786826027798
493,1786826027825
494,1786826027851
494,1786826027877
494,1786826027903
493,1786826027929
494,1786826027956
494,1786826027982
493,1786826028008
494,1786826028034
494,1786826028060
494,1786826028087
494,1786826028113
494,1786826028139
495,1786826028165
494,1786826028192
493,1786826028218
494,1786826028244
493,1786826028270
494,1786826028296
494,1786826028322
494,1786826028348
495,1786826028374
494,1786826028401
494,1786826028427
493,1786826028453
493,1786826028479
493,1786826028505
493,1786826028531
493,1786826028558
493,1786826028584
493,1786826028610
493,1786826028636
493,1786826028662
494,1786826028689
493,1786826028715
493,1786826028741
495,1786826028767
494,1786826028793
494,1786826028819
494,1786826028845
494,1786826028871
494,1786826028898
493,1786826028924
494,1786826028950
494,1786826028976
493,1786826029002
494,1786826029028
494,1786826029054
495,1786826029081
495,1786826029107
495,1786826029134
494,1786826029160
493,1786826029186
495,1786826029212
493,1786826029238
494,1786826029265
494,1786826029291
494,1786826029317
493,1786826029343
494,1786826029369
494,1786826029395
493,1786826029422
493,1786826029448
493,1786826029474
493,1786826029500
493,1786826029526
492,1786826029552
491,1786826029578
491,1786826029605
491,1786826029631
491,1786826029657
490,1786826029683
490,1786826029710
491,1786826029736
490,1786826029762
490,1786826029788
490,1786826029814
490,1786826029840
490,1786826029866
490,1786826029893
492,1786826029920
492,1786826029946
492,1786826029972
491,1786826029998
491,1786826030024
491,1786826030050
491,1786826030076
491,1786826030103
490,1786826030129
490,1786826030155
491,1786826030181
491,1786826030208
490,1786826030235
490,1786826030261
491,1786826030287
491,1786826030313
490,1786826030339
490,1786826030365
490,1786826030391
489,1786826030417
490,1786826030443
490,1786826030469
490,1786826030495
490,1786826030522
489,1786826030547
490,1786826030574
489,1786826030600
489,1786826030626
489,1786826030651
490,1786826030678
489,1786826030704
490,1786826030730
491,1786826030756
491,1786826030782
490,1786826030808
490,1786826030835
490,1786826030861
491,1786826030887
491,1786826030913
491,1786826030939
491,1786826030966
490,1786826030992
490,1786826031018
491,1786826031044
491,1786826031070
491,1786826031096
491,1786826031122
491,1786826031148
491,1786826031174
492,1786826031200
493,1786826031226
492,1786826031252
491,1786826031278
492,1786826031304
492,1786826031331
491,1786826031357
491,1786826031383
492,1786826031408
493,1786826031435
492,1786826031461
491,1786826031487
490,1786826031513
490,1786826031539
489,1786826031565
489,1786826031591
490,1786826031617
489,1786826031643
489,1786826031669
489,1786826031694
489,1786826031720
489,1786826031746
488,1786826031773
487,1786826031799
488,1786826031825
489,1786826031851
489,1786826031877
489,1786826031903
489,1786826031929
489,1786826031955
488,1786826031981
488,1786826032007
487,1786826032033
489,1786826032059
489,1786826032085
489,1786826032111
490,1786826032137
489,1786826032163
489,1786826032189
489,1786826032215
490,1786826032241
489,1786826032267
490,1786826032293
491,1786826032319
492,1786826032345
490,1786826032371
491,1786826032397
491,1786826032423
490,1786826032449
489,1786826032475
491,1786826032501
490,1786826032527
490,1786826032553
491,1786826032579
492,1786826032605
490,1786826032632
491,1786826032657
492,1786826032684
491,1786826032710
491,1786826032736
490,1786826032762
490,1786826032788
492,1786826032815
492,1786826032841
490,1786826032867
490,1786826032893
491,1786826032919
491,1786826032945
490,1786826032971
489,1786826032997
491,1786826033023
489,1786826033050
490,1786826033076
489,1786826033102
489,1786826033128
489,1786826033155
490,1786826033181
490,1786826033207
491,1786826033233
490,1786826033260
489,1786826033286
490,1786826033312
490,1786826033339
489,1786826033365
489,1786826033391
491,1786826033417
490,1786826033444
489,1786826033470
490,1786826033496
490,1786826033522
489,1786826033549
489,1786826033576
490,1786826033602
490,1786826033628
489,1786826033654
489,1786826033680
489,1786826033706
488,1786826033732
489,1786826033759
489,1786826033785
489,1786826033811
489,1786826033838
489,1786826033864
489,1786826033890
489,1786826033916
489,1786826033942
488,1786826033968
489,1786826033994
489,1786826034021
489,1786826034047
489,1786826034073
488,1786826034100
489,1786826034126
490,1786826034152
489,1786826034178
489,1786826034204
489,1786826034230
489,1786826034257
489,1786826034283
489,1786826034309
489,1786826034335
488,1786826034362
487,1786826034388
488,1786826034415
487,1786826034441
489,1786826034467
491,1786826034494
489,1786826034520
489,1786826034546
487,1786826034573
488,1786826034599
491,1786826034625
492,1786826034651
494,1786826034678
493,1786826034704
490,1786826034730
491,1786826034756
490,1786826034783
491,1786826034809
492,1786826034835
491,1786826034862
491,1786826034888
491,1786826034914
489,1786826034941
490,1786826034967
489,1786826034993
489,1786826035019
