"voltage","time"
25.299,1786825759333
25.533,1786825759211
25.533,1786825759094
25.533,1786825758870
25.533,1786825758758
25.533,1786825758636
25.533,1786825758519
25.533,1786825758407
25.533,1786825758295
25.533,1786825758183
25.47,1786825758061
25.47,1786825757945
25.47,1786825757833
25.47,1786825757721
25.47,1786825757609
25.47,1786825757487
25.47,1786825757370
25.47,1786825757258
25.47,1786825757146
25.47,1786825757034
25.47,1786825756912
25.47,1786825756796
25.47,1786825756684
25.47,1786825756572
25.47,1786825756460
25.47,1786825756338
25.47,1786825756221
25.47,1786825756109
25.47,1786825755997
25.47,1786825755885
25.479,1786825755773
25.479,1786825755646
25.479,1786825755422
25.479,1786825755309
25.479,1786825755197
25.479,1786825755070
25.479,1786825754958
25.479,1786825754846
25.479,1786825754621
25.515,1786825754494
25.515,1786825754382
25.515,1786825754270
25.515,1786825754158
25.515,1786825754046
25.515,1786825753920
25.515,1786825753808
25.515,1786825753696
25.461,1786825753345
25.461,1786825753233
25.461,1786825753121
25.461,1786825753009
25.461,1786825752897
25.461,1786825752770
25.461,1786825752544
25.461,1786825752320
25.461,1786825752193
25.461,1786825752081
25.461,1786825751969
25.461,1786825751745
25.461,1786825751618
25.461,1786825751506
25.461,1786825751394
25.461,1786825751170
25.443,1786825751043
25.443,1786825750931
25.443,1786825750819
25.443,1786825750706
25.443,1786825750600
25.443,1786825750483
25.443,1786825750361
25.443,1786825750249
25.443,1786825750135
25.443,1786825750025
25.443,1786825749909
25.488,1786825749787
25.488,1786825749675
25.488,1786825749561
25.488,1786825749451
25.488,1786825749333
25.488,1786825749211
25.488,1786825749099
25.488,1786825748987
25.488,1786825748875
25.488,1786825748758
25.533,1786825748636
25.533,1786825748524
25.533,1786825748412
25.533,1786825748300
25.533,1786825748183
25.533,1786825748061
25.533,1786825747949
25.533,1786825747837
25.533,1786825747609
25.497,1786825747487
25.497,1786825747375
25.497,1786825747263
25.497,1786825747035
25.497,1786825746913
25.497,1786825746801
25.497,1786825746689
25.497,1786825746460
25.488,1786825746338
25.488,1786825746114
25.488,1786825746002
